titulo,precio,tamano_lote,tipo_unidad_lote,source,localizacion,coordenadas,enlace,barrio_colonia,municipio_ciudad,departamento_provincia
"Spacious Family Home and Farm in San Marcos, Nicaragua",129000,3470.52,m²,nicarealtors.com,Si,"11.907923943555891,-86.19239076884563",https://nicarealtors.com/listings/spacious-family-home-and-farm-in-san-marcos/,Vivienda 4 Concepción de María,San Marcos,Carazo
"8 Manzana Quinta with Home in Diriomo, Granada – Finca El Trapiche",129000,56338,m²,nicarealtors.com,Si,"11.870717939986738,-86.04461859128989",https://nicarealtors.com/listings/8-manzana-quinta-with-home-in-diriomo-granada/,,Diriomo,Granada
"Charming 2 Bedroom Lakefront House in Rivas, Nicaragua",129000,430.5,m²,nicarealtors.com,Si,"11.478439792105537,-85.79080060400865",https://nicarealtors.com/listings/2-bedroom-lakefront-house-in-rivas-nicaragua/,San Andrés,Buenos Aires,Rivas
Chic 2-Bedroom Condo in San Juan del Sur – Prime Investment Opportunity!,129000,0,No disponible,nicarealtors.com,Si,"11.265017126764382,-85.85346574603015",https://nicarealtors.com/listings/chic-2-bedroom-condo-in-san-juan-del-sur/,Auxiliadora,San Juan del Sur,Rivas
"Colonial House or Micro Hotel Opportunity in Granada, Nicaragua | Casa Cuiscoma",130000,208.57,m²,nicarealtors.com,Si,"11.927201939643467,-85.95399603778998",https://nicarealtors.com/listings/colonial-house-or-micro-hotel-opportunity-in-granada/,Sector El Mercado,Granada,Granada
House for sale in Playa Gigante - 3 Bedroom Home Near Town,144900,1928,m²,nicarealtors.com,Si,"11.391978259650765,-86.02996181232568",https://nicarealtors.com/listings/house-for-sale-in-playa-gigante-3-bedroom-home/,El Gigante,El Gigante,Rivas
"House and Dorm Rooms in Laguna de Apoyo, Nicaragua",145000,2889,m²,nicarealtors.com,Si,"11.937492418776259,-86.05211547037196",https://nicarealtors.com/listings/house-and-dorm-rooms-in-laguna-de-apoyo/,La Ermita,Masaya,Masaya
House with Lot in Playa Gigante - Casa Victoria,149900,1390.91,m²,nicarealtors.com,Si,"11.394393789215938,-86.03157464361185",https://nicarealtors.com/listings/house-with-lot-in-playa-gigante-casa-victoria/,El Gigante,El Gigante,Rivas
"Beachfront Property in Playa Masachapa, Nicaragua",150000,444.94,m²,nicarealtors.com,Si,"11.786892280946581,-86.51608002889427",https://nicarealtors.com/listings/beachfront-property-in-playa-masachapa/,Masachapa,Masachapa,Managua
"Two Houses on One Property in Playa Gigante, Nicaragua",154900,705,m²,nicarealtors.com,Si,"11.393948543921825,-86.03161019100591",https://nicarealtors.com/listings/two-houses-on-one-property-in-playa-gigante/,El Gigante,El Gigante,Rivas
"Modern One-Bedroom House with Private Pool in Popoyo, Nicaragua | La Selva",159000,200,m²,nicarealtors.com,Si,"11.449688859451445,-86.08643200820542",https://nicarealtors.com/listings/modern-one-bedroom-house-with-private-pool-in-popoyo/,Popoyo,Tola,Rivas
Titled Surf House Near Playa Amarillo Surf Break & Playa Gigante,159900,1928,m²,nicarealtors.com,Si,"11.396609406462602,-86.03090608706282",https://nicarealtors.com/listings/titled-surf-house-near-playa-amarillo-surf-break-playa-gigante/,El Gigante,El Gigante,Rivas
El Oasis | Eco-Friendly Retreat in Playa Amarillo & Gigante,170000,136.72,m²,nicarealtors.com,Si,"11.392208922127349,-86.03180519742094",https://nicarealtors.com/listings/eco-friendly-retreat-in-playa-amarillo-gigante/,El Gigante,El Gigante,Rivas
